adm2_pcode,adm2_name,adm1_name,school_count,school_age_pop,total_pop,children_per_school,is_border_region,excluded_from_ranking,composite,priority_class
CI0802,Doropo,Bounkani,28,20102,76093,717.9285714285714,True,False,0.9242,high
CI0503,Tengrela,Bagoue,65,35699,135142,549.2153846153847,True,False,0.861,high
CI0804,Téhini,Bounkani,23,12469,47194,542.1304347826087,True,False,0.7892,high
CI0502,Kouto,Bagoue,76,39077,147920,514.171052631579,True,False,0.78,high
CI3103,Ouangolodougou,Tchologo,146,71384,270233,488.93150684931504,True,False,0.7763,high
CI2803,M'Bengué,Poro,62,26476,100217,427.03225806451616,True,False,0.7223,high
CI2802,Korhogo,Poro,373,161864,612727,433.9517426273458,True,False,0.6596,high
CI0501,Boundiali,Bagoue,95,38501,145733,405.2736842105263,True,False,0.6588,high
CI1001,Kaniasso,Folon,53,17551,66445,331.1509433962264,True,False,0.6425,high
CI0801,Bouna,Bounkani,82,34558,130824,421.4390243902439,True,False,0.6269,high
CI2804,Sinématiali,Poro,48,17674,66898,368.2083333333333,True,False,0.6264,high
CI2102,Madinani,Kabadougou,34,11971,45317,352.0882352941176,True,False,0.625,high
CI1703,Niakaramandougou,Hambol,93,40343,152736,433.7956989247312,False,False,0.6206,high
CI0701,Dianra,Bere,66,29120,110234,441.2121212121212,False,False,0.6205,high
CI2801,Dikodougou,Poro,58,24294,91967,418.86206896551727,True,False,0.6145,high
CI3102,Kong,Tchologo,67,25802,95986,385.1044776119403,True,False,0.6088,high
CI2104,Samatiguila,Kabadougou,17,5273,19957,310.1764705882353,True,False,0.6037,high
CI1002,Minignan,Folon,45,11518,43595,255.95555555555555,True,False,0.5906,high
CI3101,Ferkessédougou,Tchologo,144,43197,163520,299.9791666666667,True,False,0.5738,high
CI0702,Kounahiri,Bere,50,23421,88656,468.42,False,False,0.5492,high
CI2105,Séguélon,Kabadougou,27,7932,30025,293.77777777777777,True,False,0.5384,high
CI1702,Katiola,Hambol,83,32234,122020,388.3614457831325,False,False,0.5217,high
CI1401,Bondoukou,Gontougo,279,100615,380884,360.6272401433692,False,False,0.5054,high
CI2101,Gbeleban,Kabadougou,27,5480,20747,202.96296296296296,True,False,0.4999,high
CI3301,Kani,Worodougou,74,22276,84330,301.02702702702703,False,False,0.4962,high
CI3302,Séguéla,Worodougou,172,59833,226503,347.8662790697674,False,False,0.4837,high
CI0703,Mankono,Bere,194,64976,245959,334.92783505154637,False,False,0.4772,high
CI1601,Bangolo,Guemon,208,95918,363104,461.1442307692308,False,False,0.4768,high
CI3204,Sipilou,Tonkpi,34,12623,47787,371.2647058823529,False,False,0.4768,high
CI2103,Odienne,Kabadougou,119,27644,104655,232.30252100840337,True,False,0.4762,high
CI0402,Ouaninou,Bafing,70,22923,86775,327.4714285714286,False,False,0.4727,high
CI1701,Dabakala,Hambol,184,57064,216011,310.1304347826087,False,False,0.4724,high
CI1403,Sandegue,Gontougo,52,16952,64158,326.0,False,False,0.4622,high
CI1803,Vavoua,Haut-Sassandra,320,120877,457582,377.740625,False,False,0.4416,high
CI0803,Nassian,Bounkani,53,13427,50829,253.33962264150944,True,False,0.4343,high
CI1604,Kouibly,Guemon,93,35161,133097,378.0752688172043,False,False,0.4332,high
CI0202,Yamoussoukro,District Autonome De Yamoussoukro,215,93485,353887,434.8139534883721,False,False,0.4326,medium
CI0401,Koro,Bafing,80,17854,67584,223.175,False,False,0.4318,medium
CI1602,Duékoué,Guemon,279,125674,475738,450.44444444444446,False,False,0.4308,medium
CI1801,Daloa,Haut-Sassandra,426,178385,675278,418.74413145539904,False,False,0.4296,medium
CI2601,Buyo,Nawa,113,55439,209873,490.6106194690266,False,False,0.4222,medium
CI2501,Arrah,Moronou,57,24227,91704,425.03508771929825,False,False,0.4208,medium
CI1903,Prikro,Iffou,90,27283,103289,303.14444444444445,False,False,0.4067,medium
CI1103,Bouaké,Gbeke,676,205238,776924,303.6065088757396,False,False,0.4041,medium
CI3203,Man,Tonkpi,303,100753,381384,332.5181518151815,False,False,0.3964,medium
CI2303,Zuénoula,Marahoue,206,64713,244982,314.1407766990291,False,False,0.3927,medium
CI2002,Agnibilékrou,Indenie-Djuablin,143,50710,191964,354.61538461538464,False,False,0.39,medium
CI1302,Oumé,Goh,195,82619,312760,423.6871794871795,False,False,0.3864,medium
CI1101,Béoumi,Gbeke,195,52845,200040,271.0,False,False,0.3857,medium
CI3201,Biankouma,Tonkpi,144,38824,151996,269.6111111111111,False,False,0.3834,medium
CI3202,Danané,Tonkpi,258,80549,304903,312.20542635658916,False,False,0.3828,medium
CI2001,Abengourou,Indenie-Djuablin,262,101352,383672,386.8396946564886,False,False,0.3803,medium
CI1102,Botro,Gbeke,101,24550,92940,243.06930693069307,False,False,0.3726,medium
CI0902,Guiglo,Cavally,140,53276,201674,380.54285714285714,False,False,0.3617,medium
CI1405,Transua,Gontougo,96,25171,95285,262.1979166666667,False,False,0.3603,medium
CI2604,Soubré,Nawa,395,175183,663163,443.50126582278483,False,False,0.3594,medium
CI0403,Touba,Bafing,116,22624,85645,195.0344827586207,False,False,0.3586,medium
CI1402,Koun Fao,Gontougo,134,35042,132663,261.5074626865672,False,False,0.3536,medium
CI1404,Tanda,Gontougo,107,23385,88520,218.55140186915887,False,False,0.3496,medium
CI1104,Sakassou,Gbeke,108,28500,107890,263.8888888888889,False,False,0.3495,medium
CI1804,Zoukougbeu,Haut-Sassandra,103,33320,126138,323.49514563106794,False,False,0.3444,medium
CI2502,Bongouanou,Moronou,133,43491,164634,327.0,False,False,0.3369,medium
CI3205,Zouan-Hounien,Tonkpi,189,58818,222650,311.2063492063492,False,False,0.3351,medium
CI2401,Adzopé,Me,149,58346,220882,391.5838926174497,False,False,0.3323,medium
CI3004,Tiapoum,Sud-Comoe,45,21756,82360,483.46666666666664,False,False,0.3303,medium
CI0901,Bloléquin,Cavally,113,37186,140772,329.07964601769913,False,False,0.329,medium
CI1603,Facobly,Guemon,89,20452,77418,229.79775280898878,False,False,0.3288,medium
CI2301,Bouaflé,Marahoue,454,123522,467594,272.0748898678414,False,False,0.3225,medium
CI3001,Aboisso,Sud-Comoe,220,92820,351369,421.90909090909093,False,False,0.3221,medium
CI0601,Didievi,Belier,113,28251,106949,250.00884955752213,False,False,0.3196,medium
CI2603,Méagui,Nawa,141,61657,233408,437.2836879432624,False,False,0.3158,medium
CI2402,Akoupé,Me,107,35888,135856,335.4018691588785,False,False,0.3145,medium
CI1902,M'Bahiakro,Iffou,123,24052,91049,195.54471544715446,False,False,0.3105,low
CI2404,Yakassé-Attobrou,Me,64,22995,87055,359.296875,False,False,0.3061,low
CI2202,Guitry,Loh-Djiboua,103,44249,167498,429.6019417475728,False,False,0.303,low
CI2302,Sinfra,Marahoue,245,71761,271659,292.9020408163265,False,False,0.3014,low
CI1901,Daoukro,Iffou,215,47965,181574,223.09302325581396,False,False,0.2966,low
CI2003,Béttié,Indenie-Djuablin,49,16914,64026,345.18367346938777,False,False,0.296,low
CI2701,Bocanda,N'Zi,161,38264,144852,237.66459627329192,False,False,0.285,low
CI1301,Gagnoa,Goh,543,181536,687221,334.3204419889503,False,False,0.283,low
CI2503,M'Batto,Moronou,113,32252,122088,285.4159292035398,False,False,0.2782,low
CI2203,Lakota,Loh-Djiboua,179,60964,230783,340.5810055865922,False,False,0.2688,low
CI0904,Toulepleu,Cavally,64,17185,65051,268.515625,False,False,0.2677,low
CI0201,Attiégouakro,District Autonome De Yamoussoukro,61,13723,51950,224.9672131147541,False,False,0.2673,low
CI2602,Guéyo,Nawa,69,25230,95508,365.6521739130435,False,False,0.2621,low
CI0903,Taï,Cavally,99,31042,117502,313.55555555555554,False,False,0.2601,low
CI2702,Dimbokro,N'Zi,122,27457,103934,225.05737704918033,False,False,0.2597,low
CI2902,Tabou,San Pedro,140,58949,223144,421.0642857142857,False,False,0.2583,low
CI2703,Kouassi-Kouassikro,N'Zi,54,8927,33797,165.3148148148148,False,False,0.255,low
CI0603,Tiébissou,Belier,163,29768,112685,182.62576687116564,False,False,0.2534,low
CI2201,Divo,Loh-Djiboua,367,114639,433960,312.36784741144413,False,False,0.2513,low
CI3003,Grand-Bassam,Sud-Comoe,146,53989,204375,369.78767123287673,False,False,0.2489,low
CI1802,Issia,Haut-Sassandra,399,98865,374260,247.78195488721803,False,False,0.2483,low
CI2901,San Pédro,San Pedro,468,190297,720383,406.61752136752136,False,False,0.2435,low
CI1502,Grand-Lahou,Grands Ponts,130,45624,172705,350.95384615384614,False,False,0.2403,low
CI0604,Toumodi,Belier,166,38540,145892,232.16867469879517,False,False,0.2385,low
CI0304,Tiassalé,Agneby-Tiassa,194,54236,205311,279.5670103092784,False,False,0.2248,low
CI2403,Alépé,Me,119,37954,143667,318.94117647058823,False,False,0.2243,low
CI1201,Fresco,Gbokle,89,30542,115622,343.1685393258427,False,False,0.2227,low
CI1202,Sassandra,Gbokle,262,90300,341836,344.6564885496183,False,False,0.2158,low
CI0301,Agboville,Agneby-Tiassa,349,88072,333412,252.35530085959886,False,False,0.2016,low
CI1501,Dabou,Grands Ponts,149,44888,169920,301.26174496644296,False,False,0.1944,low
CI1503,Jacqueville,Grands Ponts,54,16976,64263,314.3703703703704,False,False,0.1911,low
CI3002,Adiaké,Sud-Comoe,80,25189,95356,314.8625,False,False,0.1903,low
CI0302,Sikensi,Agneby-Tiassa,98,23649,89527,241.31632653061226,False,False,0.1697,low
CI0303,Taabo,Agneby-Tiassa,107,17012,64395,158.99065420560748,False,False,0.1492,low
CI0602,Djekanou,Belier,72,7992,30258,111.0,False,False,0.1298,low
CI0101,Abidjan,District Autonome D'Abidjan,1980,1419328,5372892,716.8323232323232,False,True,,excluded
